Size_sqft,Lot_Size_sqft,Living_Area_sqft,Basement_Area_sqft,Garage_Area_sqft,Bedrooms,Bathrooms,Full_Baths,Half_Baths,Total_Rooms,Kitchens,Overall_Quality,Overall_Condition,Kitchen_Quality,Basement_Quality,Heating_Quality,Dist_Downtown_miles,Dist_School_miles,Dist_Transit_miles,Dist_Park_miles,Dist_Hospital_miles,Dist_Highway_miles,Walk_Score,Transit_Score,Year_Built,Year_Renovated,Age_Years,Years_Since_Renovation,Has_Pool,Has_Deck,Has_Porch,Has_Fireplace,Has_Central_Air,Has_Basement,Has_Garage,Is_Waterfront,Is_Corner_Lot,Has_Solar,Zone_Residential,Zone_Commercial,Zone_Suburban,Zone_Rural,Zone_Downtown,Tax_Assessed_Value,Annual_HOA_Fees,Property_Tax_Rate,Month_Sold,Year_Sold,View_Score,Fence_Quality,Roof_Age_years,Driveway_Paved,Electric_System_Type,Price_USD
2020,9317,1564,0,240,5,1.0,1,0,10,1,6,7,4,1,2,8.19,6.98,3.34,0.63,14.29,10.67,78,83,1951,0,75,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,230488,0,3.15,11,2025,1,3,22,1,2,679258
1337,16962,1245,0,789,3,2.0,2,0,8,1,1,9,2,1,4,28.61,3.54,4.62,4.61,7.52,0.71,28,59,2008,0,18,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,448721,0,1.46,4,2024,5,3,11,0,1,588149
3350,16299,2537,624,568,4,3.5,3,1,11,2,2,6,1,7,6,27.15,5.22,0.58,1.46,2.57,9.06,49,85,1981,2003,45,23,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,310312,2434,1.63,6,2025,3,2,18,1,3,722022
1719,14180,1509,0,396,1,1.5,1,1,4,2,2,8,4,1,4,23.86,6.7,4.18,0.5,14.41,11.2,30,57,1960,2018,66,8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,351735,0,1.16,4,2022,3,3,6,1,2,539798
2172,16362,1948,0,345,5,1.5,1,1,7,1,4,6,4,1,10,2.02,3.18,3.88,4.35,2.75,11.47,88,73,2002,0,24,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,110521,4201,1.32,11,2022,1,3,0,1,2,736439
4057,17317,3294,334,513,5,4.5,4,1,11,1,6,6,7,2,1,27.4,5.13,2.34,1.3,14.65,10.06,31,71,1983,0,43,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,256226,1268,2.35,11,2022,3,2,0,1,1,968420
3383,8024,2775,514,0,3,1.0,1,0,8,1,4,10,6,8,10,17.64,1.13,1.78,3.06,7.4,3.92,49,81,1991,2016,35,10,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,348612,2996,2.16,5,2025,2,2,25,1,2,791004
4456,6525,3625,0,187,4,1.0,1,0,8,1,6,7,4,1,8,3.12,2.98,2.41,3.57,10.14,1.34,96,85,1996,0,30,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,319511,0,3.44,12,2025,4,3,2,1,1,1012039
3578,18117,2747,1467,127,4,3.5,3,1,9,1,1,3,2,9,3,11.53,9.79,2.86,3.25,5.83,10.22,72,86,2023,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,498651,3642,2.7,9,2026,4,1,7,0,3,963836
4039,16424,3208,1141,383,1,4.5,4,2,7,1,4,9,3,3,2,9.73,8.67,3.76,1.23,6.34,3.99,64,60,2013,2014,13,12,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,244955,195,2.64,2,2024,4,4,9,1,3,942709
1892,16833,1799,1316,0,1,2.5,2,1,5,1,2,6,3,1,7,29.82,5.61,0.44,2.36,9.82,6.01,49,100,2003,0,23,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,447518,0,3.07,6,2025,2,3,2,1,3,637222
2256,4088,2032,0,0,4,3.0,3,0,9,1,2,7,1,1,7,1.61,2.37,1.65,2.16,1.23,0.62,100,81,1968,2023,58,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,184234,0,3.18,5,2025,4,4,11,1,2,644912
1191,4252,993,724,450,3,1.0,1,0,7,1,5,6,7,4,6,8.86,1.09,3.29,0.36,6.84,2.94,62,74,2016,0,10,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,415954,0,1.57,4,2020,4,4,18,1,3,654522
3671,4960,3152,0,317,4,3.0,3,0,10,1,9,8,10,1,2,10.34,7.31,3.57,4.13,2.43,6.07,62,78,1963,2012,63,14,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,394740,1763,1.25,8,2020,5,4,25,0,1,939439
